,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.029897352853986262,0.0,1.0,1
1.0,1.0,0.019931568569324175,-0.009965784284662087,0.0,0
2.0,2.0,0.019931568569324175,0.0,0.0,0
3.0,3.0,0.019931568569324175,0.0,0.0,0
4.0,4.0,0.019931568569324175,0.0,0.0,0
5.0,5.0,0.049828921423310434,0.02989735285398626,0.5,2
6.0,6.0,0.019931568569324175,-0.02989735285398626,0.0,0
7.0,7.0,0.019931568569324175,0.0,0.0,0
8.0,8.0,0.019931568569324175,0.0,0.0,0
9.0,9.0,0.019931568569324175,0.0,0.0,0
10.0,10.0,0.019931568569324175,0.0,0.0,0
11.0,11.0,0.019931568569324175,0.0,0.0,0
12.0,12.0,0.019931568569324175,0.0,0.0,0
13.0,13.0,0.019931568569324175,0.0,0.0,0
14.0,14.0,0.019931568569324175,0.0,0.0,0
15.0,15.0,0.019931568569324175,0.0,0.0,0
16.0,16.0,0.019931568569324175,0.0,0.0,0
17.0,17.0,0.019931568569324175,0.0,0.0,0
18.0,18.0,0.019931568569324175,0.0,0.0,0
19.0,19.0,0.03986313713864835,0.019931568569324175,1.0,1
20.0,20.0,0.019931568569324175,-0.019931568569324175,0.0,0
21.0,21.0,0.019931568569324175,0.0,0.0,0
22.0,22.0,0.019931568569324175,0.0,0.0,0
23.0,23.0,0.019931568569324175,0.0,0.0,0
24.0,24.0,0.03986313713864835,0.019931568569324175,0.5,2
25.0,25.0,0.019931568569324175,-0.019931568569324175,0.0,0
26.0,26.0,0.03986313713864835,0.019931568569324175,1.0,1
27.0,27.0,0.019931568569324175,-0.019931568569324175,0.0,0
28.0,28.0,0.019931568569324175,0.0,0.0,0
29.0,29.0,0.019931568569324175,0.0,0.0,0
30.0,30.0,0.03986313713864835,0.019931568569324175,1.0,1
31.0,31.0,0.019931568569324175,-0.019931568569324175,0.0,0
32.0,32.0,0.019931568569324175,0.0,0.0,0
33.0,33.0,0.019931568569324175,0.0,0.0,0
34.0,34.0,0.019931568569324175,0.0,0.0,0
35.0,35.0,0.03986313713864835,0.019931568569324175,0.5,2
36.0,36.0,0.03986313713864835,0.0,0.5,2
37.0,37.0,0.03986313713864835,0.0,1.0,1
38.0,38.0,0.019931568569324175,-0.019931568569324175,0.0,0
39.0,39.0,0.049828921423310434,0.02989735285398626,0.3333333333333333,3
40.0,40.0,0.049828921423310434,0.0,0.3333333333333333,3
41.0,41.0,0.019931568569324175,-0.02989735285398626,0.0,0
42.0,42.0,0.019931568569324175,0.0,0.0,0
43.0,43.0,0.019931568569324175,0.0,0.0,0
44.0,44.0,0.049828921423310434,0.02989735285398626,0.3333333333333333,3
45.0,45.0,0.03986313713864835,-0.009965784284662084,0.5,2
46.0,46.0,0.059794705707972524,0.019931568569324175,0.5,2
47.0,47.0,0.03986313713864835,-0.019931568569324175,1.0,1
48.0,48.0,0.019931568569324175,-0.019931568569324175,0.0,0
49.0,49.0,0.019931568569324175,0.0,0.0,0
50.0,50.0,0.03986313713864835,0.019931568569324175,0.5,2
51.0,51.0,0.019931568569324175,-0.019931568569324175,0.0,0
52.0,52.0,0.019931568569324175,0.0,0.0,0
53.0,53.0,0.019931568569324175,0.0,0.0,0
54.0,54.0,0.019931568569324175,0.0,0.0,0
55.0,55.0,0.019931568569324175,0.0,0.0,0
56.0,56.0,0.049828921423310434,0.02989735285398626,0.5,2
57.0,57.0,0.059794705707972524,0.009965784284662091,0.25,4
58.0,58.0,0.029897352853986262,-0.029897352853986262,1.0,1
59.0,59.0,0.03986313713864835,0.009965784284662087,0.3333333333333333,3
60.0,60.0,0.06976048999263461,0.02989735285398626,0.3333333333333333,3
