,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.03986313713864835,0.0,0.5,2
1.0,1.0,0.029897352853986262,-0.009965784284662087,1.0,1
2.0,2.0,0.029897352853986262,0.0,1.0,1
3.0,3.0,0.03986313713864835,0.009965784284662087,1.0,1
4.0,4.0,0.029897352853986262,-0.009965784284662087,1.0,1
5.0,5.0,0.029897352853986262,0.0,1.0,1
6.0,6.0,0.03986313713864835,0.009965784284662087,1.0,1
7.0,7.0,0.019931568569324175,-0.019931568569324175,0.0,0
8.0,8.0,0.029897352853986262,0.009965784284662087,1.0,1
9.0,9.0,0.019931568569324175,-0.009965784284662087,0.0,0
10.0,10.0,0.03986313713864835,0.019931568569324175,1.0,1
11.0,11.0,0.03986313713864835,0.0,0.5,2
12.0,12.0,0.03986313713864835,0.0,0.5,2
13.0,13.0,0.06976048999263461,0.02989735285398626,0.3333333333333333,3
14.0,14.0,0.019931568569324175,-0.049828921423310434,0.0,0
15.0,15.0,0.019931568569324175,0.0,0.0,0
16.0,16.0,0.029897352853986262,0.009965784284662087,1.0,1
17.0,17.0,0.03986313713864835,0.009965784284662087,1.0,1
18.0,18.0,0.03986313713864835,0.0,0.3333333333333333,3
19.0,19.0,0.03986313713864835,0.0,0.5,2
20.0,20.0,0.019931568569324175,-0.019931568569324175,0.0,0
21.0,21.0,0.029897352853986262,0.009965784284662087,0.5,2
22.0,22.0,0.06976048999263461,0.03986313713864835,0.16666666666666666,6
23.0,23.0,0.03986313713864835,-0.02989735285398626,0.25,4
24.0,24.0,0.03986313713864835,0.0,1.0,1
25.0,25.0,0.019931568569324175,-0.019931568569324175,0.0,0
26.0,26.0,0.03986313713864835,0.019931568569324175,1.0,1
27.0,27.0,0.019931568569324175,-0.019931568569324175,0.0,0
28.0,28.0,0.019931568569324175,0.0,0.0,0
29.0,29.0,0.03986313713864835,0.019931568569324175,0.5,2
30.0,30.0,0.029897352853986262,-0.009965784284662087,0.5,2
31.0,31.0,0.019931568569324175,-0.009965784284662087,0.0,0
32.0,32.0,0.019931568569324175,0.0,0.0,0
33.0,33.0,0.029897352853986262,0.009965784284662087,0.5,2
34.0,34.0,0.03986313713864835,0.009965784284662087,1.0,1
35.0,35.0,0.049828921423310434,0.009965784284662084,0.3333333333333333,3
36.0,36.0,0.03986313713864835,-0.009965784284662084,0.25,4
37.0,37.0,0.029897352853986262,-0.009965784284662087,1.0,1
38.0,38.0,0.059794705707972524,0.029897352853986262,0.5,2
39.0,39.0,0.019931568569324175,-0.03986313713864835,0.0,0
40.0,40.0,0.03986313713864835,0.019931568569324175,0.3333333333333333,3
41.0,41.0,0.0797262742772967,0.03986313713864835,0.1111111111111111,9
42.0,42.0,0.0797262742772967,0.0,0.1111111111111111,9
43.0,43.0,0.08969205856195879,0.009965784284662091,0.1111111111111111,9
44.0,44.0,0.0797262742772967,-0.009965784284662091,0.1,10
45.0,45.0,0.08969205856195879,0.009965784284662091,0.1111111111111111,9
46.0,46.0,0.09965784284662087,0.009965784284662077,0.1111111111111111,9
47.0,47.0,0.09965784284662087,0.0,0.09090909090909091,11
48.0,48.0,0.06976048999263461,-0.02989735285398626,0.125,8
49.0,49.0,0.0797262742772967,0.009965784284662091,0.1111111111111111,9
50.0,50.0,0.049828921423310434,-0.029897352853986266,0.2,5
51.0,51.0,0.03986313713864835,-0.009965784284662084,0.25,4
52.0,52.0,0.06976048999263461,0.02989735285398626,0.2,5
53.0,53.0,0.0797262742772967,0.009965784284662091,0.1111111111111111,9
54.0,54.0,0.08969205856195879,0.009965784284662091,0.14285714285714285,7
55.0,55.0,0.0797262742772967,-0.009965784284662091,0.25,4
56.0,56.0,0.059794705707972524,-0.019931568569324175,0.2,5
57.0,57.0,0.059794705707972524,0.0,0.3333333333333333,3
58.0,58.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333,3
59.0,59.0,0.049828921423310434,0.0,0.3333333333333333,3
60.0,60.0,0.049828921423310434,0.0,0.5,2
61.0,61.0,0.019931568569324175,-0.02989735285398626,0.0,0
62.0,62.0,0.019931568569324175,0.0,0.0,0
63.0,63.0,0.029897352853986262,0.009965784284662087,1.0,1
64.0,64.0,0.019931568569324175,-0.009965784284662087,0.0,0
65.0,65.0,0.029897352853986262,0.009965784284662087,1.0,1
66.0,66.0,0.03986313713864835,0.009965784284662087,1.0,1
67.0,67.0,0.019931568569324175,-0.019931568569324175,0.0,0
68.0,68.0,0.029897352853986262,0.009965784284662087,1.0,1
69.0,69.0,0.019931568569324175,-0.009965784284662087,0.0,0
70.0,70.0,0.019931568569324175,0.0,0.0,0
71.0,71.0,0.019931568569324175,0.0,0.0,0
72.0,72.0,0.019931568569324175,0.0,0.0,0
73.0,73.0,0.019931568569324175,0.0,0.0,0
74.0,74.0,0.019931568569324175,0.0,0.0,0
75.0,75.0,0.019931568569324175,0.0,0.0,0
76.0,76.0,0.019931568569324175,0.0,0.0,0
77.0,77.0,0.019931568569324175,0.0,0.0,0
78.0,78.0,0.019931568569324175,0.0,0.0,0
79.0,79.0,0.019931568569324175,0.0,0.0,0
80.0,80.0,0.019931568569324175,0.0,0.0,0
81.0,81.0,0.019931568569324175,0.0,0.0,0
82.0,82.0,0.019931568569324175,0.0,0.0,0
83.0,83.0,0.019931568569324175,0.0,0.0,0
84.0,84.0,0.019931568569324175,0.0,0.0,0
85.0,85.0,0.019931568569324175,0.0,0.0,0
86.0,86.0,0.019931568569324175,0.0,0.0,0
87.0,87.0,0.03986313713864835,0.019931568569324175,0.5,2
88.0,88.0,0.019931568569324175,-0.019931568569324175,0.0,0
89.0,89.0,0.019931568569324175,0.0,0.0,0
90.0,90.0,0.049828921423310434,0.02989735285398626,0.3333333333333333,3
91.0,91.0,0.049828921423310434,0.0,0.5,2
92.0,92.0,0.059794705707972524,0.009965784284662091,0.3333333333333333,3
93.0,93.0,0.059794705707972524,0.0,0.3333333333333333,3
94.0,94.0,0.03986313713864835,-0.019931568569324175,1.0,1
95.0,95.0,0.029897352853986262,-0.009965784284662087,1.0,1
96.0,96.0,0.049828921423310434,0.01993156856932417,0.5,2
97.0,97.0,0.049828921423310434,0.0,0.5,2
98.0,98.0,0.049828921423310434,0.0,0.3333333333333333,3
99.0,99.0,0.049828921423310434,0.0,0.3333333333333333,3
100.0,100.0,0.059794705707972524,0.009965784284662091,0.3333333333333333,3
101.0,101.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333,3
102.0,102.0,0.059794705707972524,0.009965784284662091,0.2,5
103.0,103.0,0.03986313713864835,-0.019931568569324175,0.5,2
104.0,104.0,0.049828921423310434,0.009965784284662084,0.3333333333333333,3
105.0,105.0,0.029897352853986262,-0.01993156856932417,0.5,2
106.0,106.0,0.049828921423310434,0.01993156856932417,0.3333333333333333,3
107.0,107.0,0.049828921423310434,0.0,0.3333333333333333,3
108.0,108.0,0.029897352853986262,-0.01993156856932417,1.0,1
109.0,109.0,0.03986313713864835,0.009965784284662087,0.5,2
110.0,110.0,0.03986313713864835,0.0,1.0,1
111.0,111.0,0.03986313713864835,0.0,1.0,1
112.0,112.0,0.029897352853986262,-0.009965784284662087,1.0,1
113.0,113.0,0.03986313713864835,0.009965784284662087,1.0,1
114.0,114.0,0.03986313713864835,0.0,1.0,1
115.0,115.0,0.03986313713864835,0.0,1.0,1
116.0,116.0,0.03986313713864835,0.0,0.5,2
117.0,117.0,0.019931568569324175,-0.019931568569324175,0.0,0
118.0,118.0,0.019931568569324175,0.0,0.0,0
119.0,119.0,0.019931568569324175,0.0,0.0,0
120.0,120.0,0.019931568569324175,0.0,0.0,0
121.0,121.0,0.019931568569324175,0.0,0.0,0
122.0,122.0,0.06976048999263461,0.049828921423310434,0.3333333333333333,3
123.0,123.0,0.029897352853986262,-0.03986313713864835,1.0,1
124.0,124.0,0.049828921423310434,0.01993156856932417,0.5,2
125.0,125.0,0.03986313713864835,-0.009965784284662084,1.0,1
126.0,126.0,0.059794705707972524,0.019931568569324175,0.5,2
127.0,127.0,0.049828921423310434,-0.009965784284662091,0.3333333333333333,3
128.0,128.0,0.019931568569324175,-0.02989735285398626,0.0,0
129.0,129.0,0.019931568569324175,0.0,0.0,0
130.0,130.0,0.049828921423310434,0.02989735285398626,0.3333333333333333,3
131.0,131.0,0.06976048999263461,0.019931568569324175,0.3333333333333333,3
132.0,132.0,0.019931568569324175,-0.049828921423310434,0.0,0
133.0,133.0,0.049828921423310434,0.02989735285398626,0.3333333333333333,3
134.0,134.0,0.059794705707972524,0.009965784284662091,0.2,5
135.0,135.0,0.08969205856195879,0.029897352853986266,0.125,8
136.0,136.0,0.0797262742772967,-0.009965784284662091,0.125,8
137.0,137.0,0.0797262742772967,0.0,0.16666666666666666,6
138.0,138.0,0.06976048999263461,-0.009965784284662091,0.14285714285714285,7
139.0,139.0,0.08969205856195879,0.019931568569324182,0.125,8
140.0,140.0,0.059794705707972524,-0.029897352853986266,0.16666666666666666,6
141.0,141.0,0.06976048999263461,0.009965784284662084,0.16666666666666666,6
142.0,142.0,0.06976048999263461,0.0,0.1,10
143.0,143.0,0.0797262742772967,0.009965784284662091,0.2,5
144.0,144.0,0.03986313713864835,-0.03986313713864835,0.5,2
145.0,145.0,0.06976048999263461,0.02989735285398626,0.25,4
146.0,146.0,0.049828921423310434,-0.019931568569324175,0.25,4
